"role","content","created_at"
"user","hey laten we starten","2025-09-29T17:16:30.386944+00:00"
"assistant","###VIGNETTE 1###
Het lichaam slaat glucose op in de vorm van glycogeen, voornamelijk in de lever en spieren, om te gebruiken wanneer er energie nodig is—vooral tussen maaltijden of tijdens inspanning. Bij glycogeenstapelingsziekten (GSD’s) is dit proces verstoord door erfelijke enzymdeficiënties. Hierdoor heeft het lichaam moeite om normale bloedglucosespiegels te handhaven, vooral tijdens vasten. Om dit te compenseren worden andere metabole routes geactiveerd. Bij GSD zijn alternatieve paden, zoals de Cori-cyclus, extra belast.  
Een 3-jarig meisje met GSD komt bij de arts omdat ze snel prikkelbaar is en haar buik opgezwollen lijkt. Haar lever is vergroot en de bloedwaarden zijn:
Bloedglucose: 45 mg/dL (normaal: 70–110 mg/dL)
Bloedketonen: Negatief
Lactaat: 4,2 mmol/L (normaal: 0,5–2,0 mmol/L)

Kun je uitleggen wat er in deze casus is gebeurd?","2025-09-29T17:16:47.728327+00:00"
"user","er is een relatief hoge waarde lactaat, dit betekend waarschijnlijk dat er iets misgaat in de aerobe metabolisme en er sneller wordt overgegaan op de anaerobe metabolisme","2025-09-29T17:22:12.778227+00:00"
"assistant","Goede poging en interessante observatie! Voordat we verder gaan: laten we even samen een stapje terug nemen en wat basiskennis opfrissen. Dat helpt om straks de casus beter te analyseren.

Heb je tot nu toe vragen of onduidelijkheden over de basisprocessen van energiemetabolisme? Bijvoorbeeld: weet je nog hoe glycolyse werkt, of wat het verschil is tussen aerobe en anaerobe energiewinning? Of is er een ander onderdeel waar je over wilt praten?","2025-09-29T17:22:40.015402+00:00"
"user","nee ik denk dat ik de meeste dingen wel snap","2025-09-29T17:24:35.533564+00:00"
"assistant","Prima! Om zeker te zijn van een goede basis, kun je kort uitleggen wat glycolyse is? Waar in de cel vindt het plaats en wat zijn de belangrijkste input en output?","2025-09-29T17:24:42.301449+00:00"
"user","voor glycolyse komt eerst glucose een cel binnen (hier speelt insuline een rol in) deze wordt vervolgens omgezet in glucose-6-fosfaat waarna het verder wordt opgezet tot uiteindelijk pyruvaat. hierbij wordt 2 atp gebruikt en 4 atp wordt gewonnen (netto dus 2 atp). 2 NADH wordt gevormd en uiteindelijk 2 pyruvaat. dit vindt allemaal in het plasma van de cel plaats","2025-09-29T17:28:59.215546+00:00"
"assistant","Heel goed uitgelegd! Je noemt inderdaad de belangrijke stappen en producten van glycolyse en waar in de cel het gebeurt.

Zullen we ook kort bekijken wat er normaal gebeurt met pyruvaat wanneer er genoeg zuurstof is (aerobe omstandigheden)? Wat gebeurt er met pyruvaat in die situatie, en welk deel van de energieproductie volgt daarna?","2025-09-29T17:29:09.75301+00:00"
"user","pyruvaat wordt vervolgens de mitochondriën ingetransporteerd en wordt daar aan Coenzym-A gebonden. dit zal vervolgen een reactie aangaan met oxaalacetaat waarmee het de citroenzuurcyclus ingaat.","2025-09-29T17:30:14.368427+00:00"
"assistant","Dat klopt helemaal! Pyruvaat wordt omgezet in acetyl-CoA, en die gaat de citroenzuurcyclus (Krebs/citroenzuurcyclus) in door te reageren met oxaalacetaat.

Misschien handig om nog even kort te herhalen: wat leveren de citroenzuurcyclus en de elektronen transportketen (oxidatieve fosforylering) vooral op voor de cel, en wat is hierin de rol van NADH?","2025-09-29T17:30:23.754051+00:00"
"user","het levert vooral ATP, de rol van NADH is het afgeven van elektronen bij de elektronentransportketen om vervolgens H+ te pompen in de intermembraanruimte waarmee vervolgens ATP-synthase ATP kan maken","2025-09-29T17:32:02.70173+00:00"
"assistant","Precies! Je beschrijft mooi hoe NADH elektronen levert aan de elektronentransportketen en zo de vorming van ATP mogelijk maakt via de chemiosmotische koppeling.

Nog één belangrijk punt om kort te checken: wat gebeurt er met pyruvaat en NADH als er géén zuurstof beschikbaar is, oftewel in anaerobe omstandigheden? Wat wordt er dan gevormd?","2025-09-29T17:32:10.676641+00:00"
"user","in dit geval wordt pyruvaat omgezet in lactaat waarbij NADH wordt omgezet in NAD+. dit kan dan vervolgens weer gebruikt worden in de glycolyse om pyruvaat te vormen","2025-09-29T17:35:42.206402+00:00"
